Song Title,Artist,Release Date,Angella,Favorites,Pace: Upbeat,Pace: Medium,Pace: Slow,Sing-Along,Love Song,Processional Ideas,Recessional Ideas,First Dance,Father/Daughter,Mother/Son,Folk,Pop,Country,Rock,Indie,Alternative, Reggae,Soul,Funk,Punk,Acoustic,R&B,Children,Blues,Jazz,Dance,International,Rap,Religious,Vocal,Hip Hop,Singer-Songwriter,Bluegrass,Jam,Classical,Link
Bubbly Toes,Jack Johnson,2/1/2001,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/4141a77b-11e5-478b-9b71-ccd279798a48/
Flake,Jack Johnson,2/1/2001,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/85af1fc7-3711-4157-93c4-ae4b4301e56c/
Gone,Jack Johnson,5/6/2003,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/3d6479b8-6b87-4ce6-8d8f-8ab9e038ee1c/
I got you,Jack Johnson,6/10/2013,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Rodeo Clowns,Jack Johnson,5/6/2003,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/b8f434bd-e2da-4dcd-9c35-350bbdf9fb17/
Upside Down,Jack Johnson,2/24/2006,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/cd32c699-556f-44ee-b127-897216eb259e/
You and Your Heart,Jack Johnson,6/1/2010,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/8643b1c2-d4ee-4120-b71b-86d614e9127b/
Somebody's Baby,Jackson Browne,7/1/1982,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/5400f456-c722-449a-8d82-207880006ea9/
Stay,Jackson Browne,1/1/1978,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/47e14f5a-a8b5-4d78-9934-74bf85294cfe/
These days,Jackson Browne,10/1/1967,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bonfire Heart,James Blunt,10/6/2013,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/aaf45973-c274-46c2-ac83-7e6dd1a77c0f/
Carolina In My Mind,James Taylor,12/6/1968,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/27b55cf2-9170-44cf-a444-7fb9b0ef7a1b/
Fire and Rain,James Taylor,2/1/1970,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/ad915fe2-ae1b-43e9-b8a5-06ecb53d72d2/
How Sweet It Is (To Be Loved By You),James Taylor,5/1/1975,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/048b0b53-fd8c-4e4d-bb83-450f77aea343/
Something In The Way She Moves,James Taylor,12/6/1968,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/02696d81-2450-4c67-bcc0-63468cb3c9a7/
Sweet Baby James,James Taylor,2/1/1970,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/89ae4861-734c-49b6-b82c-97f9d7e9e707/
You've got a friend,James Taylor,4/1/1971,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Something to love,Jason Isbell,1/1/2013,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Curbside Prophet,Jason Mraz,10/15/2002,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/5b8af1aa-6ac5-4ad4-9183-ba4c2751c31f/
I Won't Give Up,Jason Mraz,4/13/2012,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/3d285736-b0d6-4d9a-87fd-16171316ce22/
I'm Yours,Jason Mraz,5/13/2008,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/d5a5f621-68cc-4c38-96ee-c4fcde6f8589/
Living In The Moment,Jason Mraz,4/13/2012,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/9046502e-6674-4fbe-a816-ec0acb6189d4/
Love Someone,Jason Mraz,7/11/2014,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/80646605-5c2c-4227-a4c9-580ac5fd0bbd/
Lucky (feat. Colbie Caillat),Jason Mraz,5/13/2008,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/fc49f304-b0ec-41a7-8fc9-6e24d9dfb928/
Unlonely,Jason Mraz,8/10/2018,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/6fef7623-0ade-4759-82cd-aab782abe860/
Mr. Bojangles,Jerry Jeff Walker,2/1/1970,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/cc2fbdaf-2632-40f5-a9f6-fac5233f03e4/
I'll have to say I love you in a song,Jim Croce,3/1/1974,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Margaritaville,Jimmy Buffett,2/14/1977,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/ea37092d-698d-446e-a583-42cd1d07cdd0/
Jack & Diane,John Cougar Mellencamp,7/1/1982,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/2bcc9761-d3fe-4ddc-a7b5-2cac9a7181ab/
Annie's song,John Denver,6/1/1974,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Take Me Home Country Roads,John Denver,4/12/1971,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/6300e8b9-4b7b-457c-b150-bb734b7a62a8/
All of me,John Legend,8/12/2013,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/6dfdad4a-c008-43e0-a74c-89ac34e5cbbf/
Imagine,John Lennon,10/11/1971,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/2cf36b03-da59-4b2b-8702-7f83ba47cb6f/
Gravity,John Mayer,9/12/2006,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a00e6cf1-de16-4072-86f5-0892f29fefb7/
Queen of California,John Mayer,8/13/2012,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
XO (Beyonce Song),John Mayer,12/16/2013,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Folsom Prison Blues,Johnny Cash,12/15/1955,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/b1e5860f-011a-4c54-b5f3-c106aa939a8a/
I Walk the Line,Johnny Cash,5/1/1956,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a8e9387e-c3c9-453c-b805-add15f0a70d4/
Ring Of Fire,Johnny Cash,4/19/1963,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/4bdf8a4f-85eb-4ec0-a5ec-60df0618dc30/
All Time Low,Jon Bellion,5/13/2016,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/f990e61e-9ce4-4cce-a07d-51ea58c3368d/
Rise (feat. Jack & Jack),Jonas Blue,5/25/2018,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/1e1826db-7b9e-41e6-a7dc-401d95e49e80/
Cool,Jonas Brothers,4/5/2019,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Heartbeats,Jose Gonzalez,10/29/2003,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/251f62c2-3f29-44e5-b426-eb934180e6e1/
Star Mile,Joshua Radin,6/13/2006,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/fc4019ec-f349-4258-8875-4ce133f0f59b/
You Got Growin Up To Do,Joshua Radin,1/1/2008,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/32c5bdbd-7010-4fc2-af48-6540a7370873/
Don't Stop Believin',Journey,6/3/1981,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/3a342640-b803-45a0-8126-d804b063657d/
Take It All Back,Judah & the Lion,8/9/2016,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/3d85819f-90c9-422a-b5fc-6e1799ac69e1/
Girl,Jukebox the Ghost,1/1/2015,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/2183cf43-e207-4eff-8910-8eed94bfa151/
Love Yourself,Justin Bieber,11/9/2015,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/20625cd2-a75b-4bb8-94fb-ff3c3330bb87/
Follow Your Arrow,Kacey Musgraves,10/21/2013,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/f128c33c-abef-4d6f-ba55-819dd092b3f6/
Golden Hour,Kacey Musgraves,3/30/2018,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Merry Go 'Round,Kacey Musgraves,9/10/2012,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/629f077f-0228-4f96-be2e-728f89a8fefc/
Rainbow,Kacey Musgraves,2/11/2019,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Danny's Song,Kenny Loggins,11/1/1971,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/19f35ece-ea3c-438d-8247-1071912dcb46/
The Gambler,Kenny Rogers,11/15/1978,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/30570944-bb37-4f89-997c-16ea42ca8eb1/
Pursuit of Happiness,Kid Cudi,1/25/2010,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/7917fbc0-89d3-40e4-8ad6-6a85d8793639/
Mr. Brightside,Killers,6/7/2004,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/80d13a23-1758-4f08-bd5e-2b0439a96847/
Dancing In The Moonlight,King Harvest,7/9/1972,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/4dfa2705-57c8-48d5-b239-7c1c05dfcfe9/
Shallow (feat. Bradley Cooper),Lady Gaga,9/27/2018,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/cdb4f69e-ec03-4b5a-b70d-d41b62e56e21/
Greatest Love Story,Lanco,3/6/2017,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/f27be692-eac9-4622-bc48-64c778a305dc/
Thank You,Led Zeppelin,10/1/1969,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/374d3783-4795-4005-aac3-44d7795852a1/
Beyond,Leon Bridges,5/4/2018,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/fbedb2a3-4a7c-4853-bb2e-1c6819343961/
Hallelujah,Leonard Cohen,12/1/1984,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a9b19dc8-9415-4d6e-ac5c-07cd719d2ea0/
Old town road (feat Billy Ray Cyrus),Lil Nas X,4/5/2019,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Lightning Crashes,Live,9/24/1994,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Royals,Lorde,6/3/2013,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/b603ac4b-10a6-4bf4-9be6-76f0726a7ab5/
Walk on the Wild Side,Lou Reed,11/8/1972,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/0e2596ce-ea1c-42e2-8858-8442786b725f/
What A Wonderful World,Louis Armstrong,10/18/1967,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a5474c76-a250-4c74-bdb3-2431b339a974/
Beautiful Crazy,Luke Combs,12/3/2018,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Big Parade,Lumineers,4/3/2012,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/b9abcba8-a22a-4ab5-bafd-35cab7c6b55d/
Cleopatra,Lumineers,3/25/2016,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/24b5c0b3-3506-47a7-abb6-b7f0533a65ae/
Flowers In Your Hair,Lumineers,4/3/2012,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/948afd53-800a-4f5b-b20b-18576746f470/
Ho! Hey!,Lumineers,4/3/2012,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/2d05a5ff-6fb9-4ce3-808f-6259bda7d9d8/
Stubborn Love,Lumineers,4/3/2012,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/bdbb488e-10c0-4cc9-a2d9-fd9b75f8ede2/
Simple Man,Lynyrd Skynyrd,4/30/1973,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a0241b43-7129-4f7a-8089-728925c6af14/
Sweet Home Alabama,Lynyrd Skynyrd,6/24/1974,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a5bd81b1-3dc3-452b-9190-5f23a894f88d/
Rude,Magic,10/10/2013,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/5f366e91-a94b-4646-8175-009da1b28aa4/
California Dreamin',Mamas & Papas,12/8/1965,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Echo,Mandolin Orange,9/30/2016,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/4c62947d-6b6a-4b7b-a23f-a4dbaaac80ea/
Girls Like You,Maroon 5,5/30/2018,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/3f1cc831-ebee-4f15-b9ed-e48b493f9c44/
One More Night,Maroon 5,6/19/2012,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/70e8552e-7470-416d-aadc-047294e0e068/
She Will Be Loved,Maroon 5,6/8/2004,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/aed98088-49bd-4988-87e8-28bdcaff7e3d/
Sunday Morning,Maroon 5,11/8/2004,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/7ad1c46e-9d40-4893-8c79-ceac3bb5a219/
This Love,Maroon 5,1/27/2004,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/7515d65b-1228-4545-96d3-b476815d36c5/
Heard It Through The Grapevine,Marvin Gaye,10/30/1968,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/39a80f0d-3784-4963-b0c5-91d6a1d8ad4a/
Sexual Healing,Marvin Gaye,9/30/1982,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/228f8a7a-c1f3-4b35-8bd7-9d88c2870fc1/
Closer To Love,Mat Kearney,3/10/2009,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/da7325b4-6d8d-4425-ab59-0af7a64de969/
Wanted man,Mat Kearney,1/1/2018,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Nothing Else Matters,Metallica,4/20/1992,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/964bf7e8-9f4d-4f1c-b848-1e24455e28ed/
Billie Jean,Michael Jackson,1/2/1983,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/41353e5f-814b-4592-8097-c498b23846ac/
Cold little heart,Michael Kiwanuka,7/15/2016,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Animal,Miike Snow,2/17/2009,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/e012704b-8a84-4d2a-a9aa-068f761da12c/
Lay Here,Mulligan Brothers,1/1/2013,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/e45611d4-192b-407b-b39e-f171a6932814/
I Will Wait,Mumford and Sons,8/7/2012,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,https://www.evernote.com/shard/s3/nl/584496/1842e62b-ca2d-4fb6-bb65-25adfcffb07b/
Lover Of The Light,Mumford and Sons,11/5/2012,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,https://www.evernote.com/shard/s3/nl/584496/b799d709-17f0-4be5-9e01-685a88ad58ce/
