Song Title,Artist,Release Date,Angella,Favorites,Pace: Upbeat,Pace: Medium,Pace: Slow,Sing-Along,Love Song,Processional Ideas,Recessional Ideas,First Dance,Father/Daughter,Mother/Son,Folk,Pop,Country,Rock,Indie,Alternative, Reggae,Soul,Funk,Punk,Acoustic,R&B,Children,Blues,Jazz,Dance,International,Rap,Religious,Vocal,Hip Hop,Singer-Songwriter,Bluegrass,Jam,Classical,Link
I and Love and You,Avett Brothers,9/29/2009,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/ff46a944-ccc5-4cc2-9620-460f8317fc34/
Live And Die,Avett Brothers,9/11/2012,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/1c24110f-609b-4cfc-9966-be917b688ba0/
Shame,Avett Brothers,5/15/2007,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,https://www.evernote.com/shard/s3/nl/584496/0654b4da-4f1c-4ee6-9bb8-dc240430198c/
Weight of Lies,Avett Brothers,5/15/2007,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,https://www.evernote.com/shard/s3/nl/584496/fd26b472-a790-44a8-9ceb-075d0d266f72/
The Weight,Band,1/1/1968,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/206eb174-a065-4323-908e-a72baf038613/
Pompeii,Bastille,1/12/2013,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/2e0f5a09-c382-49fa-9a3c-5bfe6b23e5fd/
Don't Worry Baby,Beach Boys,5/11/1964,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/c5962d30-c77c-4153-8fb3-10541f5a0480/
All My Loving,Beatles,11/22/1963,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/bdcb9a4e-d873-4ecc-8298-5ed0235a25bf/
All You Need Is Love,Beatles,7/7/1967,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/dc19b2c4-a642-4d08-bfcc-a640eccba357/
Blackbird,Beatles,11/22/1968,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/358f750a-9a31-42af-acfb-626b32669e56/
Come Together,Beatles,10/6/1969,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/a46cb68b-4887-4b9b-8d8b-11d26b937053/
Here Comes The Sun,Beatles,9/26/1969,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/7a9a2093-c078-48fb-ab8f-cf3bc612b930/
Hey Jude,Beatles,8/26/1968,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/fa0ea2c2-37ac-4355-9513-ce192cb24d07/
I've Just Seen A Face,Beatles,8/6/1965,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/d0eac56f-52cb-4b3b-bf2d-5c7bbac3de7e/
In My Life,Beatles,12/3/1965,no,yes,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/90264623-8fa6-4205-b6e7-e0e7eaf3ed86/
Let It Be,Beatles,3/6/1970,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/5f5d34a4-a335-4af1-b2bc-363843f937a5/
Real Love,Beatles,10/10/1988,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/0954af7d-3204-4585-9fb3-a874f811fa8e/
Rocky Racoon,Beatles,11/22/1968,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/321e3a9c-72e8-4d9c-a367-3a59c4b8b486/
Something,Beatles,10/6/1969,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
